eigenvector_idx,nearest_molecule_idx,distance,explained_variance_ratio,cumulative_variance_ratio,smiles
137,75445,1.3653907037124908,8.97906617141329e-06,0.9993874195030411,O=C1SSC2=C1NC1=C(SSC1=O)S2
138,126982,1.3817645724760688,8.876797355030165e-06,0.9993962963003962,Brc1nc2c(I)c(I)c(I)c(I)c2[nH]1
139,5216,1.3321306458807431,8.742062620119231e-06,0.9994050383630163,FS(F)(F)(F)(F)F
140,5216,1.365122141665557,8.572919420143528e-06,0.9994136112824364,FS(F)(F)(F)(F)F
141,5216,1.3590134237680973,8.500940614015943e-06,0.9994221122230504,FS(F)(F)(F)(F)F
142,1220,1.359843151805627,8.412222036586525e-06,0.9994305244450871,FC(F)=C(F)F
143,8636,1.3613340288281153,8.283502593344182e-06,0.9994388079476804,F[P-](F)(F)(F)(F)F
144,1793,1.3638252189054632,8.223847872420952e-06,0.9994470317955528,IC(I)=C(I)I
145,1260,1.3723555954749633,8.107617730265391e-06,0.9994551394132831,ClC(Cl)C#N
146,1260,1.3785491531378518,8.003569249442024e-06,0.9994631429825326,ClC(Cl)C#N
147,783219,1.3793149339820812,7.840439407650292e-06,0.9994709834219402,N#Cc1nsnc1-c1nc(nc(n1)-c1nsnc1C#N)-c1nsnc1C#N
148,2081,1.3084017774340662,7.801047260712402e-06,0.9994787844692009,[N-]=[N+]=[N-]
149,2081,1.3623414817384774,7.679845122952154e-06,0.9994864643143239,[N-]=[N+]=[N-]
150,5216,1.3498243638519305,7.669591322935122e-06,0.9994941339056468,FS(F)(F)(F)(F)F
151,10862,1.372782917813679,7.518581013268803e-06,0.99950165248666,ClC1=NSN=C(Cl)C1=O
152,140655,1.374426489741225,7.507293830830894e-06,0.9995091597804908,O=C1SC2=C(S1)C1=C(SC(=O)S1)SS2
153,2081,1.3335848615893362,7.370850123875197e-06,0.9995165306306147,[N-]=[N+]=[N-]
154,15736,1.3589203730319965,7.3153100248250525e-06,0.9995238459406396,O=C1SC2=C(S1)SSSSS2
155,1220,1.348372334619191,7.192824372390666e-06,0.9995310387650119,FC(F)=C(F)F
156,1793,1.3644365885098142,7.1262832749451574e-06,0.9995381650482869,IC(I)=C(I)I
157,1793,1.345175978598835,7.0707238620764365e-06,0.9995452357721489,IC(I)=C(I)I
158,5216,1.339711678010621,7.0079099333444e-06,0.9995522436820823,FS(F)(F)(F)(F)F
159,704526,1.3791903189015218,6.847519181941857e-06,0.9995590912012642,ClP1(Cl)=NP(Cl)(Cl)=NP(Cl)(Cl)=NP(Cl)(Cl)=N1
160,15736,1.3681138876098131,6.816507822134567e-06,0.9995659077090863,O=C1SC2=C(S1)SSSSS2
161,156,1.3554492385365575,6.735214600950037e-06,0.9995726429236872,S=C=S
162,1793,1.3709113573270826,6.600752215164649e-06,0.9995792436759023,IC(I)=C(I)I
163,91523,1.3824159828157077,6.564478370207823e-06,0.9995858081542726,ClC1(Cl)CS(=O)(=O)CC1(Cl)Cl
164,1793,1.3826424039928613,6.43804840322375e-06,0.9995922462026758,IC(I)=C(I)I
165,8636,1.3736970420175676,6.388973329287404e-06,0.9995986351760051,F[P-](F)(F)(F)(F)F
166,5261,1.386684224197391,6.318825507919184e-06,0.9996049540015131,O[Cl](=O)(=O)=O
167,103068,1.3721988998852244,6.244290909284148e-06,0.9996111982924223,ClN1C(=O)N(Cl)C(=O)N(Cl)C1=O
168,15705,1.3848955479704506,6.1601027710938755e-06,0.9996173583951934,O=C1SC2=C(S1)SC(=O)S2
169,2081,1.3686653442408474,6.071691848396733e-06,0.9996234300870418,[N-]=[N+]=[N-]
170,704526,1.3699539027760324,6.041065872426024e-06,0.9996294711529142,ClP1(Cl)=NP(Cl)(Cl)=NP(Cl)(Cl)=NP(Cl)(Cl)=N1
171,426821,1.3575188336095563,5.9999655314763e-06,0.9996354711184458,ClC(Cl)=C1C(=C(Cl)Cl)C(Cl)(Cl)C1(Cl)Cl
172,5216,1.3770220563531779,5.896718747927571e-06,0.9996413678371937,FS(F)(F)(F)(F)F
173,5216,1.3776033212343617,5.866842885668845e-06,0.9996472346800793,FS(F)(F)(F)(F)F
174,1249,1.3743545645549777,5.789003075857794e-06,0.9996530236831552,[O-][N+]#N
175,156,1.3756836368417285,5.608888196302551e-06,0.9996586325713516,S=C=S
176,963,1.3896720073302768,5.567907580119408e-06,0.9996642004789317,O=S1OCCO1
