eigenvector_idx,nearest_molecule_idx,distance,explained_variance_ratio,cumulative_variance_ratio,smiles
37,35213,1.2134062597836577,0.005422281711964572,0.6617405846910204,Oc1cc2CCOc2cc1Sc1cccnc1
38,124544,1.264609955693361,0.005359001036036447,0.6670995857270569,CCc1nnc(CNC(=O)CCCN2CCCCC2)s1
39,665009,1.19931970278224,0.0050878436862740115,0.6721874294133309,CC(C)c1cc(CNC(=O)NCC23CC4CC(CC(C4)C2)C3)on1
40,11646,1.2373146040283678,0.0049794811967713865,0.6771669106101023,CN(C)CC(=O)Nc1nccs1
41,251279,1.2629132888579104,0.004943376536458317,0.6821102871465605,CCc1nnc(CNC(=O)c2cc3CCCc3nc2OC)s1
42,778957,1.2892719943496713,0.004844477996664524,0.6869547651432251,CC(=O)c1ccc(OCc2cn(CCn3c(C)ncc3N(=O)=O)nn2)cc1
43,63039,1.2303624782463332,0.004755322942802618,0.6917100880860276,Cc1cc(CNc2cc(Cl)ccc2C)no1
44,235054,1.2761364289199755,0.004495560857991364,0.696205648944019,Clc1cc(cnc1Cl)C(=O)OCC(=O)N1CCCC1
45,1334132,1.2101871426474904,0.004457279494860091,0.7006629284388791,O=C(Cc1cc2ccccc2s1)Nc1nnc(CCCCc2nnc(NC(=O)Cc3cc4ccccc4s3)s2)s1
46,195741,1.2355923935215032,0.004314378500408584,0.7049773069392877,CCOCCNC(=O)NC12CC3CC(CC(C3)C1)C2
47,1184749,1.2630566948596096,0.004262776805054617,0.7092400837443423,CN(C)S(=O)(=O)c1cc(NC(=O)c2c(C)onc2-c2c(F)cccc2Cl)ccc1Cl
48,93942,1.2600273871506569,0.0041888073669865385,0.7134288911113289,O=C(Nc1ccc2snnc2c1)N1CCSCC1
49,1556973,1.2679903395003185,0.004143343891444721,0.7175722350027737,Cc1cccc(n1)-c1cccc(COc2c3Cc4cc(CP(O)(O)=O)cc(Cc5cc(CP(O)(O)=O)cc(Cc6cc(CP(O)(O)=O)cc(Cc2cc(CP(O)(O)=O)c3)c6O)c5OCc2cccc(n2)-c2cccc(C)n2)c4O)n1
50,1463564,1.2872369219902142,0.004040119638378606,0.7216123546411523,CC(C)CC(N)C(=O)N1CC(C(C1)C(=O)NCCc1c[nH]c2ccccc12)C(=O)NCCc1c[nH]c2ccccc12
51,297314,1.275000705702471,0.0038460427809422692,0.7254583974220945,O=C(NCCCc1ccccc1)NC(=O)NCCCc1ccccc1
52,763818,1.1973559423054874,0.0038084040108648715,0.7292668014329594,CC(C)c1ccccc1NC(=O)COC(=O)Cc1cccc(c1)C(F)(F)F
53,226120,1.2384204516724475,0.0036856983858301767,0.7329524998187896,CC(C)C(C(=O)Nc1cnccn1)c1ccc(Cl)cc1
54,26551,1.2725813541340039,0.0036466641155306376,0.7365991639343202,Cc1nn(CC(O)=O)c(C)c1N
55,5843,1.2846257369744067,0.0035258832644493336,0.7401250471987696,Nc1ncc(Br)cc1Br
56,406402,1.2398491199308959,0.0034719530306044468,0.743597000229374,Cc1nnc(SCC(=O)NCc2ccc3NC(=O)CCc3c2)s1
57,403290,1.2835866597163064,0.003442517236950345,0.7470395174663244,Oc1n(CC(=O)Nc2cccnc2)ncc2c1nc1ccccc21
58,101861,1.2725805412781392,0.003406845981295197,0.7504463634476195,Cc1cccc(OCCCC(=O)Nc2nccs2)c1
59,184735,1.2827721536109524,0.0032816937398154186,0.753728057187435,Nc1n[n+]([O-])c2cnccc2[n+]1[O-]
60,1118783,1.278003202080323,0.003212896923006454,0.7569409541104414,O=C(CCCCC(=O)OCc1cn(Cc2ccccc2)nn1)OCc1cn(Cc2ccccc2)nn1
61,437571,1.2501044524324125,0.0031998907274997015,0.7601408448379411,CN(CCc1c(C)nn(C)c1C)C(=O)Nc1cc(C)ccc1C
62,48388,1.284859769233614,0.003150601051073707,0.7632914458890148,O=C(Nc1ccccn1)c1cc[nH]n1
63,368717,1.2948057348792306,0.0031023817307088675,0.7663938276197236,Cc1cc(NC(=O)COc2ccc(C)nc2N(=O)=O)no1
64,127818,1.2504725878048304,0.003043235263288348,0.769437062883012,COCCSc1ccccc1C(=O)NCCCn1ccnc1
65,482734,1.2809399481651405,0.0030176161180631993,0.7724546790010751,CCNC(=O)COC(=O)c1cc(nc2ccccc12)-c1ccco1
66,133546,1.302407076348626,0.0029050626815717373,0.7753597416826469,O=C(Cc1cccs1)NCCc1cn2ccccc2n1
67,148,1.3112261696715533,0.002834959556554915,0.7781947012392018,C1CO1
68,416388,1.2951423453918993,0.002737932800440966,0.7809326340396427,CC(C)CN1CCC2C1CCN2S(=O)(=O)c1cn(C)cn1
69,200307,1.194017601396747,0.0027137413966138117,0.7836463754362566,CNS(=O)(=O)CCCNC(C)(C)c1nc(C)cs1
70,290177,1.2407376094461202,0.002651380757263856,0.7862977561935205,CC(C)C1CN(CCCO)CC1NC(=O)CCC(F)(F)F
71,427,1.3268022686920644,0.0026325634963035205,0.788930319689824,NCCNCCO
72,26633,1.312392814204866,0.002538255546694609,0.7914685752365186,OC(=O)c1nnsc1-c1csnn1
73,1625,1.311068485332419,0.0024794261819664483,0.793948001418485,CNC(=O)C#CC
74,1551759,1.3195000240748804,0.0024444927390165285,0.7963924941575015,CCOC(=O)c1c(C)oc2cc(OC)c(OCc3oc4cc(OC)c(OCc5oc6cc(OC)c(OCc7oc8cc(OC)c(OS(O)(=O)=O)cc8c7C(=O)OCC)cc6c5C(=O)OCC)cc4c3C(=O)OCC)cc12
75,501548,1.2486887789445942,0.002417940098210642,0.7988104342557121,CSc1ccc(CCNC(=O)CCc2c(C)nc3ncnn3c2C)cc1
76,33802,1.338460590337218,0.002356404205289495,0.8011668384610016,CCCN1CCCC1Cn1nc(C)cc1C
77,141649,1.2695212597197147,0.0023155413531385613,0.8034823798141402,OC(=O)c1cc(F)c(N(CCI)CCI)c(F)c1
78,100045,1.3118316330330997,0.0022919896480893373,0.8057743694622295,CC(C)(C)C(=O)OCOC(=O)C(C)(C)C
79,320996,1.322675634606023,0.002281780986354284,0.8080561504485837,CCN1Cc2ccc(NC(=O)c3cccc(Br)c3)cc2C1
80,229015,1.2830316649610929,0.002260739154120329,0.810316889602704,Cc1cc(C)cc(NC(=S)N2CCN(CCO)CC2)c1
81,74741,1.3090449607273777,0.0021747981790759814,0.8124916877817799,CCOc1ccccc1NC(=O)CCn1cccc1
82,406531,1.2307924332390712,0.0021552423960474053,0.8146469301778273,CCOc1ncccc1C(=O)N(C)Cc1ncc(C)c(OC)c1C
83,56624,1.2978957738873522,0.002137670458611711,0.816784600636439,CC(C)CN(CC(C)C)c1ccc(C)cc1
84,401177,1.3550066861267709,0.0020849952110688166,0.8188695958475078,Cn1cccc1-c1nc2cc(NC(=O)CCCl)ccc2[nH]1
85,205280,1.2453413331691365,0.0020340081394927415,0.8209036039870006,COC(=O)c1sccc1NC(=O)CSCCc1ccncc1
86,227680,1.302894802223721,0.001998223256763093,0.8229018272437637,COCCNC(=O)c1cn(Cc2c(F)cccc2Cl)nn1
87,427564,1.279231423092452,0.0019660066809127634,0.8248678339246764,CCc1nn(C)c(C(=O)NCc2ccc(cc2)C(C)C)c1Cl
88,450979,1.318156038298133,0.001954316321005192,0.8268221502456816,Cc1cc(NC(=O)c2nc(ncc2Cl)N2CCCC2)ccc1Br
89,576092,1.2359738832737732,0.001899426642906568,0.8287215768885882,C(c1cn2ccsc2n1)c1nnc(N2CCOCC2)n1-c1ccccc1
90,423168,1.2720985142569696,0.0018732291556184607,0.8305948060442067,CC(C)COc1ccc(cc1)C(=O)NC(CC(C)C)C(O)=O
91,119,1.2971858378395362,0.0018434149960011054,0.8324382210402078,C1CCNC1
92,48274,1.272560776210737,0.0018162141173573155,0.8342544351575651,Cc1ccc(OCC(=O)NC2CC2)nc1
93,857530,1.3466327198486214,0.001784844736329923,0.836039279893895,CCOc1ccc(CNC(=O)c2cc3c(s2)-c2ccccc2N(C)C3=O)cc1
94,17281,1.2759525757704613,0.0017641607359387952,0.8378034406298338,Cc1cn2ncc(Br)c2nc1C
95,919887,1.3273171634468526,0.0017398867536523117,0.8395433273834861,Cc1ncc(C(=O)NC2C3CC4CC2CC(O)(C4)C3)c(n1)C(C)(C)C
96,208993,1.291179572469772,0.001728813316419169,0.8412721406999053,COc1ccc(CN(C)C2CSCCSC2)c2cccnc12
97,86927,1.3021791104787133,0.0017013320206418954,0.8429734727205472,CCCSCC(=O)N1CCCC(CO)(CCC)C1
98,563677,1.3057143035057817,0.0016693913048883933,0.8446428640254356,Cc1ccc(C(=O)NC23CC4CC(CC(C4)C2)C3)c(Cl)c1
99,397498,1.303418619343164,0.0016532397713877442,0.8462961037968234,Fc1cnc(nc1)N1CCCC2(CCN(CC3CC3)C2=O)C1
100,2947,1.292950184444726,0.0016245513572973476,0.8479206551541207,NC(=O)c1ccncc1
101,100750,1.3112285723609078,0.0016200958136935563,0.8495407509678143,CCCCCCOC(=O)CC1CC(=O)NC(=O)C1
102,37852,1.343832122179861,0.001568855592854282,0.8511096065606686,O=C(Cn1cccc1)NC1CCCCCC1
103,408337,1.300730969533778,0.0015563242318097567,0.8526659307924783,CC(C)=CCCC(C)=CCCC(C)=CCSc1ncccc1C(O)=O
104,13545,1.3265013329887223,0.0015053911751045953,0.8541713219675829,CC(C)ON=C1CN2CCC1C2
105,609768,1.2923372075951904,0.0014897842172360385,0.8556611061848189,CCOCc1nnc(-c2ccc(OCC)c(C)c2)n1-c1ccc(OC)nc1
106,21899,1.3171684942309827,0.0014597190682940793,0.8571208252531131,NNC(=O)c1cn2ccccc2n1
107,429,1.3208888816509616,0.0014419734490884913,0.8585627987022015,CCCCCCI
108,1576692,1.3118038773611282,0.0014146623473853901,0.8599774610495869,O=C1C(CCCC1=Cc1ccc(OCc2cc(OCc3cc(OCc4cc(OCc5ccc(cc5)-n5c6ccccc6c6ccccc56)cc(OCc5ccc(cc5)-n5c6ccccc6c6ccccc56)c4)cc(OCc4cc(OCc5ccc(cc5)-n5c6ccccc6c6ccccc56)cc(OCc5ccc(cc5)-n5c6ccccc6c6ccccc56)c4)c3)cc(OCc3cc(OCc4cc(OCc5ccc(cc5)-n5c6ccccc6c6ccccc56)cc(OCc5ccc(cc5)-n5c6ccccc6c6ccccc56)c4)cc(OCc4ccc(OCc5ccc(cc5)-n5c6ccccc6c6ccccc56)cc4OCc4ccc(cc4)-n4c5ccccc5c5ccccc45)c3)c2)cc1)=Cc1ccc(OCc2cc(OCc3cc(OCc4cc(OCc5ccc(cc5)-n5c6ccccc6c6ccccc56)cc(OCc5ccc(cc5)-n5c6ccccc6c6ccccc56)c4)cc(OCc4cc(OCc5ccc(cc5)-n5c6ccccc6c6ccccc56)cc(OCc5ccc(cc5)-n5c6ccccc6c6ccccc56)c4)c3)cc(OCc3cc(OCc4cc(OCc5ccc(cc5)-n5c6ccccc6c6ccccc56)cc(OCc5ccc(cc5)-n5c6ccccc6c6ccccc56)c4)cc(OCc4ccc(OCc5ccc(cc5)-n5c6ccccc6c6ccccc56)cc4OCc4ccc(cc4)-n4c5ccccc5c5ccccc45)c3)c2)cc1
109,360709,1.3403169345110666,0.0013896454056953201,0.8613671064552822,Cc1ccc2cccc(OCC(=O)NCCC3=CCCCC3)c2n1
110,89821,1.349879601472408,0.0013814836868541868,0.8627485901421365,CCc1nnc(NC(=O)c2cccnc2SC)s1
